word,option1,option2,option3,option4,answer
clear,はっきりした,レベル,雑誌,まっすぐに,はっきりした
August,8月,6月,２度,10月,8月
percent,パーセント,両親,練習する,スーパーマーケット,パーセント
temple,寺,学年,式典,ページ,寺
cap,帽子,弱く,カップ,知識,帽子
past,過去,知識,国の,に反対して,過去
temperature,温度,気体,地域社会,発表,温度
advice,アドバイス,前進する,バナナ,携帯電話,アドバイス
nervous,緊張して,おもちゃ,の上を,場合,緊張して
skill,技能,イギリスの,完成した,価格,技能
common,共通,を期待している,走る,まっすぐに,共通
ceremony,式典,太陽,を押す,を盗んだ,式典
delicious,おいしい,職員,生き残る,誇りに思う,おいしい
subject,科目,隠れ,記録,音,科目
exchange,を交換する,状態,レベル,北部,を交換する
sugar,砂糖,サンドイッチ,大豆,夫,砂糖
adult,大人,～について,だれの,賛成する,大人
pen,ペン,パン,ピン,パス,ペン
notebook,ノート,メモ,を尊敬している,はっきりと,ノート
wonder,のだろうか,にちがいない,～すべき,～ではない,のだろうか
communicate,コミュニケーションをとっている,(飛行)便,形,葉,コミュニケーションをとっている
foot,足,ひと休み,切手,全体,足
smell,においがする,だれもが,火,技能,においがする
Dr.,先生,約束,ウェブサイト,黄色,先生
international,国際的な,興味がある,運動,事故,国際的な
a.m.,午前,午後,正午,深夜,午前
against,に反対して,データ,けれども,レベル,に反対して
reduce,を減らさ,腕,行動,を交換する,を減らさ
stadium,競技場,チームメイト,ひと休み,を修理して,競技場
discover,を発見する,眺め,午前,目がさめ,を発見する
miss,に乗り遅れて,を決め,平均,忘れる,に乗り遅れて
size,サイズ,足,波,記事,サイズ
effect,効果,明かり,引いて,を包んで,効果
cow,牛,時計,仕事,関係,牛
April,4月,8月,6月,10月,4月
set,を決め,深い,トマト,を振りなさい,を決め
stage,舞台,かさ,シドニー,猟師,舞台
service,サービス,重,すぐ,子イヌ,サービス
satellite,衛星,地震,覚,を再生利用し,衛星
hurt,を痛めた,船,カメラ,教会,を痛めた
view,眺め,期間,記事,6月,眺め
touch,に触る,惑星,城,暗号,に触る
introduce,を紹介する,棒,血液,を紹介する,を紹介する
rings,鳴る,切手,鳴る,チームメイト,鳴る
police,警察,音,観光,覚,警察
national,国の,まじめ,利己的に,州,国の
salt,塩,おいしい,キャンプ,役割,塩
invited,を招いた,死,衛星,銀行,を招いた
plastic,プラスチック製の,黄色,印刷する,ひと休み,プラスチック製の
lucky,運がよかっ,合唱,ピザ,表現,運がよかっ
dry,乾いて,バレーボール,たぶん,パン,乾いて
jump,とび起きる,味,社会,婦人,とび起きる
cell,細胞,予定,頼っている,金属,細胞
March,3月,10月,4月,8月,3月
ski,スキーをする,神,大豆,先生,スキーをする
sentence,文,口,皮ふ,効果,文
print,印刷する,帽子,期間,4月,印刷する
ocean,海,表現,音,体育館,海
dollar,ドル,肉,歌手,主将,ドル
increasing,増えて,血液,国際的,雲,増えて
exercise,運動,リンゴ,火曜日,バラ,運動
captain,主将,公衆,まじめ,宇宙飛行士,主将
volleyball,バレーボール,最小限の,骨,亡くなって,バレーボール
meat,肉,よごれた,デパート,印刷する,肉
price,価格,クマ,金属,似た,価格
distance,距離,日常の,ポンプ,決定,距離
bridge,橋,書店,メモ,快晴の,橋
England,イングランド,急いで,南,クリスマス,イングランド
lead,導く,フランス,目の見えない,病気,導く
moment,すぐ,東,たいくつな,古代の,すぐ
hair,髪,割合,のだろうか,を,髪
banana,バナナ,人形,12,火,バナナ
deep,深い,距離,雲,いろいろな,深い
king,王,真実,訓練,8月,王
war,戦争,初め,深い,を押す,戦争
meal,お食事,ポケット,加える,日常の,お食事
husband,夫,を解放した,8月,アリ,夫
June,6月,７月,５月,8月,6月
taste,味,CD,いつか,恐れ,味
solar,太陽,太った,水曜日,に乗り遅れて,太陽
Wash,を洗いなさい,ノート,オーロラ,まじめ,を洗いなさい
photo,写真,活動的,電話,データ,写真
Wednesday,水曜日,木曜日,土曜日,日曜日,水曜日
relax,くつろぐ,お食事,似た,を表現して,くつろぐ
guide,を案内する,演説者,汚染,海,を案内する
camping,キャンプ,ボウル,温度,導く,キャンプ
fire,火,けれども,神社,演説者,火
serious,まじめ,物,バレーボール,マンガ本,まじめ
India,インド,走る,岩,を減らさ,インド
community,地域社会,友情,私のもの,味,地域社会
fifteen,15,5番目,50,半分,15
period,期間,役割,つなぐ,1枚,期間
rocks,岩,プラスチック製の,だれも,つなぐ,岩
France,フランス,子イヌ,目的,道具,フランス
blood,血液,先生,子イヌ,キャンプ,血液
Christmas,クリスマス,損害,１月,船,クリスマス
kilometer,キロメートル,15,選択,隠れ,キロメートル
allowe,許す,導く,図表,おもしろい,許す
beginning,初め,釣り,１２月,パーセント,初め
fresh,新鮮な,マンガ本,記事,を痛めた,新鮮な
marathon,マラソン,かなり,電話,女王,マラソン
Tuesday(s),火曜日,水曜日,木曜日,土曜日,火曜日
symbol,象徴,生き,役に立つ,チョコレート,象徴
apple,リンゴ,ドル,現れる,種,リンゴ
global,国際的,乾いて,だ(かかる),甘い,国際的
fishing,釣り,を痛めた,亡くなって,鳴る,釣り
October,10月,１１月,１２月,9月,10月
yellow,黄色,記録,マンガ本,を招いた,黄色
researcher,研究者,興味,運がよかっ,伝統,研究者
main,主な,髪,だれもが,図表,主な
public,公衆,を横切ろ,図表,牛,公衆
article,記事,ティーンエージャー,かぎ,午前,記事
pull,引いて,古代の,を出す,思考,引いて
shape,形,電話,バラ,眠く,形
straight,まっすぐに,ジュース,びっくりするような,平均,まっすぐに
ship,船,を修理して,発表,大声で叫んだ,船
fifty,50,15,5,５つ,50
September,9月,10月,１１月,１２月,9月
damage,損害,決定,最小限の,火星,損害
planet,惑星,ユリ,運動選手,細胞,惑星
professional,プロの,シャツ,自分,技師,プロの
elderly,年配の,ポンプ,弱く,衛星,年配の
cookies,クッキー,を破壊する,過程,バナナ,クッキー
sweet,甘い,はっきりした,運,毎日の,甘い
roses,バラ,りこう,を振りなさい,アジア,バラ
chairs,いす,様式,塩,ギター,いす
disappear,消える,感銘を与える,シカ,サービス,消える
mine,私のもの,3月,東,イギリス,私のもの
cute,かわいい,過去,ポケット,バレーボール,かわいい
factory,工場,を紹介する,髪,加える,工場
proud,誇りに思う,率,耳,職員,誇りに思う
bicycle,自転車,がん,かなり,現在の,自転車
Thursday,木曜日,事故,知識,時計,木曜日
dear,親愛なる,を押す,ファン,インタビュー,親愛なる
cost,値段,トマト,魔法,たぶん,値段
level,レベル,を提供する,芸術家,ない,レベル
juice,ジュース,西,お食事,結婚式,ジュース
cheap,安い,訓練,目がさめ,波,安い
coat,上着,を出す,ハワイ,クッキー,上着
sunny,快晴の,歌手,舞台,プラスチック製の,快晴の
arm,腕,発明され,恐ろしい,魔法,腕
video,ビデオ,魔法,距離,休み,ビデオ
flight,(飛行)便,細胞,海,を尊敬している,(飛行)便
corner,角,神社,(飛行)便,クマ,角
appear,現れる,木曜日,速度がゆっくり,運,現れる
add,加える,入浴,たいこ,シャツ,加える
notes,メモ,宇宙飛行士,教科書,実験,メモ
clock,時計,を招いた,太った,消える,時計
conversation,会話,広げてください,クッキー,国の,会話
bread,パン,に触る,恐れ,原料,パン
encourage,はげましてくれる,パン,内気,半ば,はげましてくれる
law,法律,ページ,肉,穴,法律
heavy,重い,軽い,高い,低い,重い
tools,道具,運動,教会,願い,道具
teammate,チームメイト,たぶん,大声で叫んだ,生き残る,チームメイト
